App;Ratings
photo;4.409374999999998
&;4.312026726057899
free;4.25708154506437
live;4.2494382022471875
by;4.287179487179488
and;4.26761133603239
video;4.328491620111733
for;4.191881188118805
the;4.265040650406503
app;4.14816176470588
mobile;3.981443298969067
pro;4.203550295857992
